loss;acc;val_loss;val_acc
0.9712;0.5746;0.9426;0.6391
0.7134;0.7195;1.2010;0.5258
0.6206;0.7577;0.9880;0.6320
0.5439;0.7935;0.6528;0.7602
0.4843;0.8121;0.8038;0.7234
0.4416;0.8320;0.4867;0.8047
0.4261;0.8400;0.6160;0.7523
0.3889;0.8590;0.4309;0.8336
0.3653;0.8650;0.4276;0.8313
0.3364;0.8715;0.4975;0.8156
0.3080;0.8824;0.3270;0.8797
0.2962;0.8907;0.3088;0.8945
0.2860;0.8944;0.2314;0.9227
0.2322;0.9141;0.2260;0.9195
0.2260;0.9116;0.3315;0.8898
0.2333;0.9148;0.1737;0.9344
0.2080;0.9238;0.2331;0.9180
0.1869;0.9292;0.2005;0.9344
0.1923;0.9306;0.2599;0.9047
0.1866;0.9292;0.2213;0.9187
0.1728;0.9366;0.2231;0.9234
0.1574;0.9444;0.1615;0.9367
0.1637;0.9384;0.2384;0.9133
0.1673;0.9379;0.2075;0.9164
0.1513;0.9463;0.1584;0.9367
