Sno;loss;acc;val_loss;val_acc
0;0.774371;0.786809;0.590135;0.880246
1;0.650853;0.862360;0.555303;0.902966
2;0.619425;0.877780;0.552149;0.902627
3;0.608785;0.880280;0.538102;0.909043
4;0.585763;0.896233;0.518344;0.922064
5;0.586725;0.890332;0.532341;0.909383
6;0.569169;0.905594;0.504738;0.918591
7;0.563656;0.903942;0.506634;0.926744
8;0.552135;0.913121;0.496813;0.930216
9;0.546998;0.916460;0.500629;0.934556
10;0.553437;0.911495;0.501724;0.931084
11;0.553761;0.914650;0.490082;0.937160
12;0.539503;0.922832;0.494415;0.933688
13;0.538791;0.919799;0.502410;0.929348
14;0.532922;0.920743;0.481575;0.937160
15;0.539114;0.921923;0.485033;0.936821
16;0.528788;0.926233;0.484458;0.942369
17;0.526291;0.926075;0.478161;0.943237
18;0.533405;0.926390;0.497462;0.935085
19;0.524552;0.928916;0.482781;0.948445
20;0.515482;0.934476;0.484283;0.940633
21;0.525770;0.929135;0.485286;0.944105
22;0.522243;0.932290;0.491525;0.936292
23;0.510165;0.939065;0.479289;0.938028
24;0.515567;0.935472;0.479979;0.946709
25;0.510089;0.937281;0.474909;0.944105
26;0.527963;0.927517;0.478045;0.946709
27;0.512031;0.936844;0.469481;0.952785
28;0.514453;0.936066;0.470087;0.951049
29;0.511895;0.938348;0.468361;0.952785
