Sno;loss;acc;val_loss;val_acc
0;0.781175;0.768864;0.658175;0.849147
1;0.656378;0.850280;0.583586;0.892021
2;0.626667;0.856023;0.560085;0.895494
3;0.593014;0.884747;0.595399;0.874132
4;0.581940;0.887019;0.585890;0.890814
5;0.570835;0.898138;0.549130;0.896701
6;0.555498;0.908129;0.539042;0.907118
7;0.551107;0.907753;0.521733;0.910251
8;0.543830;0.915900;0.570283;0.893418
9;0.539504;0.914650;0.514767;0.919799
10;0.530770;0.921862;0.532378;0.915119
11;0.535255;0.922858;0.515061;0.925347
12;0.526475;0.924266;0.502887;0.925876
13;0.523427;0.927981;0.513375;0.913383
14;0.514626;0.933540;0.498341;0.934556
15;0.514267;0.934161;0.499311;0.929008
16;0.506329;0.935533;0.492006;0.938557
17;0.507698;0.934974;0.490044;0.937160
18;0.505580;0.938846;0.501144;0.930556
19;0.502706;0.938470;0.483336;0.939236
20;0.501350;0.945839;0.490782;0.935764
21;0.505520;0.941154;0.503298;0.932292
22;0.493291;0.946932;0.486392;0.938368
23;0.486006;0.951206;0.488594;0.933688
24;0.492729;0.950988;0.490710;0.936632
25;0.489229;0.947710;0.483122;0.940633
26;0.489500;0.946993;0.487110;0.935764
27;0.485809;0.945463;0.490853;0.937160
28;0.486095;0.948741;0.493790;0.939236
29;0.484577;0.950927;0.480388;0.938896
